x,y,z
1.264325885857362275e+00,-2.053322006297067848e+00,1.945229763450398552e+00
1.031019600981161854e+00,-1.265794232685080623e+00,2.890433401873349517e+00
6.345597202120494273e-01,4.409019247049917212e+00,1.777764197771234400e+00
7.244897284358478018e-01,-8.981146784058834376e-01,3.067856785824545351e+00
1.276984508434210186e+00,-1.856697553749799168e+00,3.230557705038484606e+00
8.618764910189102846e-01,4.572969843942712664e+00,1.459809658437726920e+00
-7.565758097224082324e-01,8.148652653404832691e+00,9.991611128935369734e+00
8.673205349077774962e-01,5.149910106127118858e+00,1.830584506844754156e+00
6.886181978183110175e-01,4.490605429414464389e+00,1.589655241278753461e+00
9.276027084804955303e-01,-2.088222286504118230e+00,3.090314852453695416e+00
8.649847536691842587e-01,-2.613671287772732832e+00,2.539177130684418859e+00
-7.505131185595148580e-01,7.711069217337881199e+00,9.944054374457527601e+00
-6.197045722954618308e-01,7.581122275481144257e+00,7.164394338559425535e+00
9.665759876646499160e-01,-1.878393122673722271e+00,3.097145484350273925e+00
1.735941196461161962e+00,4.000261403592083376e+00,3.582387988515510102e+00
5.690036448736266461e-01,4.091610613559860887e+00,1.610819039035890077e+00
5.108126665220489304e-01,4.901214136636624197e+00,8.953446537886085022e-01
-5.655596553678797767e-01,7.733965664956444996e+00,8.814907006684085999e+00
6.247763537508828069e-01,4.866322632790438085e+00,1.902502666361853612e+00
-1.124010430313385545e+00,8.149537831955163014e+00,8.853618317221032541e+00
9.626733891958443312e-01,-1.369902927089468925e+00,2.369029063273807356e+00
1.812199747597390775e+00,-4.087588225491003424e-01,3.692709013666517492e+00
6.147010598092410572e-01,-4.394912223030285059e-01,1.541399774053472393e+00
1.269325959018062999e+00,3.800788748129123817e+00,2.283965768094102344e+00
-2.024436342202574846e+00,8.241676102559504002e+00,9.527688329086366537e+00
-1.028864907320532485e+00,7.791105936253122088e+00,8.977144667270250622e+00
1.567226732411784118e+00,-7.232322032931505218e-01,1.857422070499633371e+00
